Unnamed: 0,ID,Prix,Condition,RAM,Stockage,Marque,Couleur,Taille écran,Résolution
0.0,v1|276779927734|0,230.0,Occasion,8 Go,5 Go,Huawei,Gris,"14""",1920 x 1080
1.0,v1|356347252884|0,250.0,Occasion,8 Go,512 Go,MSI,Noir,"15""",1920 x 1080
2.0,v1|226496713925|0,330.0,Occasion,24 Go,1 To,Lenovo,Noir,"14""",1920 x 1080
3.0,v1|395895523237|0,250.0,Occasion,8 Go,128 Go,Lenovo,Noir,"14""",1920 x 1080
4.0,v1|387684699352|0,340.0,Ouvert (jamais utilisé),16 Mo,512 Go,HP,Gris,"17,3""",1920 x 1080
5.0,v1|356376878312|0,120.0,Occasion,6 Go,500 Go,MSI,Noir,"17,3""",1920 x 1080
6.0,v1|196734278702|0,169.0,Très bon état - Reconditionné,8Go,HD 620,Panasonic,Noir,"12"" LED 2160 * 1440",titre
7.0,v1|176732198029|0,1600.0,Ouvert (jamais utilisé),32 Go,1 To,Dell,Argenté,"17""",1920 x 1080
8.0,v1|286214085403|0,80.0,Occasion,8 Go,256 Go,Lenovo,Noir,"14""",nn
9.0,v1|167178612324|0,649.0,Occasion,512 Go,512 Go,Dell,Noir graphite,"13,4""",3840 x 2400
10.0,v1|176725687531|0,338.47,Occasion,16 Go,512 Go,Apple,Argenté,"15,4""",2880 x 1800
11.0,v1|356365144398|0,220.0,Occasion,16 Go,512 Go,HP,Gris,"14""",1920 x 1080
12.0,v1|126732116433|0,240.0,Occasion,8Go,256 Go,Apple,Space Grey,"13""",2560x1600
14.0,v1|276770564272|0,165.0,Occasion,16 Go,16 Go,Dell,Marron,"14""",1920 x 1080
15.0,v1|235869979752|0,90.0,Occasion,6 Go,240Go,Sony,Noir,"15,6""",1366 x 786
16.0,v1|395427398249|0,329.0,Occasion,16 Go,500 Go,Lenovo,Noir,"15,6""",1920 x 1080
17.0,v1|235859799458|0,45.0,Ouvert (jamais utilisé),2 Go,32 Go,Danew,Argenté,"10,1""",1280 x 800
18.0,v1|126828727112|0,290.0,Occasion,16 Go,512 Go,Dell,Gris,"13,3""",1920 x 1080
19.0,v1|186690219384|0,450.0,Occasion,8 Go,512 Go,ASUS,Noir,"15,6""",1920 x 1080
20.0,v1|176729111408|0,159.99,Occasion,8 Go,128 Go,Apple,Argenté,"13""",2560 x 1600
21.0,v1|296882818273|0,199.99,Occasion,16 Go,256Go SSD,Dell,Noir,"14""",1366 x 768
22.0,v1|126731294887|427786658693,128.54,Occasion,8 Go,256 Go,Panasonic,Argent,25.7cm,1920 x 1080
23.0,v1|395937180861|0,205.0,Occasion,8 Go,256 Go,Intel,Argenté,"14""",1920 x 1080
24.0,v1|365285586839|0,189.99,Occasion,8 Go,256 Go,Lenovo,Noir,"13,3""",1920 x 1080
25.0,v1|395961012072|0,250.0,Occasion,16 Go,1 To,HP,Noir,ecran de 24 pouces possible,1920 x 1080
26.0,v1|276757263022|0,57.0,Occasion,6 Go,500 Go,HP,Noir,"15,6""",1366 x 768
27.0,v1|167177044347|0,600.0,Occasion,16 Go,100 Go,Acer,Noir,"17,3""",1920 x 1080
28.0,v1|326365399320|0,499.0,Occasion,32 Go,1 To,Dell,Gris,"15,6""",1920 x 1080
29.0,v1|126775700704|0,230.0,Occasion,16 Go,256 Go,HP,Argenté,"13,3""",1920 x 1080
30.0,v1|316044931910|0,197.63,Parfait état - Reconditionné,8 Go,256 Go,Dell,Noir,"14""",1920 x 1080
33.0,v1|387727899261|0,1000.0,Occasion,16 Go,512 Go,MSI,Noir,"15,6""",1920 x 1080
34.0,v1|365249211566|0,318.34,Occasion,16 Go,512 Go,MSI,Noir,"15,6""",1920 x 1080
35.0,v1|387722064432|0,99.99,Occasion,4 Go,500 Go,Lenovo,Noir,"13,5""",1920 x 1080
36.0,v1|196885994848|0,150.0,Occasion,8 Go,256 Go,Dell,Gris,"14""",1920 x 1080
37.0,v1|296848103901|0,160.0,Occasion,8 Go,500 Go,ASUS,noir/marron,"15,6""",1366 x 768
38.0,v1|365285576785|0,169.99,Occasion,8 Go,512 Go,Lenovo,Noir,"13,3""",1366 x 768
40.0,v1|316043079926|0,450.0,Occasion,8 Go,8 Go,ASUS,noire,"17,3""",1600 x 900
41.0,v1|226437631840|0,335.0,Occasion,20 Go,500 Go,Dell,Noir,"15,6""",1920 x 1080
42.0,v1|356359937928|0,185.0,Occasion,16 Go,500 Go,HP,Gris,"14""",1366 x 768
43.0,v1|186745547730|0,270.0,Occasion,8 Go,256 Go,Dell,Noir,"15,6""",1920 x 1080
44.0,v1|316052346457|0,180.0,Occasion,8Go,256 Go,Apple,Space Grey,"13""",2560x1600
45.0,v1|186823838781|0,100.0,Occasion,8 Go,8 Go,Acer,Noir,"14""",1920 x 1080
46.0,v1|355882036974|0,720.0,Occasion,16 Go,1 To,ASUS,Noir,"14""",1920 x 1080
47.0,v1|365261546008|0,620.0,Occasion,8 Go,256 Go,Microsoft,Noir,"13""",2880 x 1920
48.0,v1|395783010411|0,105.0,Occasion,6 gb,1 To,ASUS,Gris,"15,6""",1366 x 768
49.0,v1|186731309791|0,119.0,Occasion,8 Go,0,Lenovo,Noir,"13""",1920x1080
50.0,v1|387176794155|0,340.0,Occasion,8 Go,256 Go,HP,Argent,"13""",1920x1080
