Prix,Condition,RAM,Stockage,Marque,Couleur,Taille écran,Code Couleur,Code Condition,PPI
1680.0,Occasion,16.0,0.0,ASUS,autre,13.4,10,5,0.0
550.0,Occasion,8.0,256.0,Apple,gris,13.0,2,5,232.0
120.0,Occasion,6.0,700.0,ASUS,rouge,15.6,4,5,0.0
89.9,Occasion,8.0,480.0,HP,autre,17.3,10,5,0.0
1300.0,Occasion,16.0,256.0,Dell,noir,13.0,0,5,169.0
75.0,Occasion,4.0,64.0,HP,blanc,14.1,1,5,111.0
230.0,Occasion,8.0,128.0,ASUS,autre,14.0,10,5,0.0
340.0,Ouvert (jamais utilisé),16.0,256.0,Dell,gris,14.0,2,1,157.0
49.0,Occasion,4.0,160.0,Toshiba,blanc,15.6,1,5,100.0
169.0,Très bon état - Reconditionné,8.0,620.0,Panasonic,noir,12.0,0,3,0.0
80.0,Occasion,8.0,256.0,Lenovo,noir,14.0,0,5,0.0
240.0,Très bon état - Reconditionné,16.0,512.0,DELL,noir,12.0,0,3,0.0
125.0,Occasion,256.0,256.0,Dell,noir,12.5,0,5,0.0
70.0,Occasion,128.0,128.0,Lenovo,autre,14.0,10,5,0.0
338.47,Occasion,16.0,512.0,Apple,gris,15.4,2,5,221.0
1004.96,Neuf,16.0,256.0,Apple,bleu,13.0,3,0,0.0
900.0,Occasion,32.0,1024.0,Lenovo,autre,14.0,10,5,0.0
79.0,Occasion,8.0,8.0,Apple,autre,13.0,10,5,0.0
75.0,Occasion,4.0,500.0,HP,gris,17.3,2,5,0.0
155.0,Occasion,6.0,256.0,HP,autre,17.3,10,5,0.0
990.0,Occasion,64.0,1024.0,Razer,autre,17.0,10,5,0.0
190.0,Occasion,8.0,5.0,Huawei,gris,14.0,2,5,157.0
40.0,Occasion,4.0,600.0,HP,autre,13.0,10,5,0.0
1280.0,Occasion,16.0,512.0,Apple,autre,16.0,10,5,0.0
125.0,Occasion,4.0,256.0,Lenovo,autre,15.6,10,5,0.0
49.0,Occasion,2.0,32.0,HP,noir,14.0,0,5,0.0
129.0,État correct - Reconditionné,8.0,620.0,Panasonic,noir,12.0,0,4,0.0
45.0,Ouvert (jamais utilisé),2.0,32.0,Danew,gris,10.1,2,1,149.0
279.0,Occasion,16.0,512.0,Dell,autre,15.6,10,5,0.0
495.0,Occasion,32.0,512.0,HP,autre,14.0,10,5,0.0
59.0,Occasion,4.0,320.0,Lenovo,autre,14.1,10,5,0.0
249.0,Parfait état - Reconditionné,16.0,480.0,Dell,noir,15.6,0,2,100.0
150.0,Occasion,4.0,128.0,Panasonic,autre,10.1,10,5,0.0
195.0,Occasion,8.0,256.0,ASUS,autre,15.6,10,5,0.0
120.0,Occasion,4.0,128.0,Lenovo,gris,10.1,2,5,0.0
102.82,Occasion,8.0,256.0,Panasonic,gris,25.0,2,5,88.0
390.0,Occasion,16.0,500.0,MSI,autre,17.3,10,5,0.0
360.0,Occasion,512.0,512.0,Dell,autre,13.0,10,5,0.0
390.0,Occasion,512.0,512.0,Google,autre,13.0,10,5,0.0
145.0,Occasion,8.0,256.0,HP,gris,13.3,2,5,0.0
495.0,Occasion,16.0,256.0,Microsoft,autre,12.5,10,5,0.0
487.8,Occasion,16.0,2048.0,HP,gris,15.0,2,5,147.0
449.0,Occasion,32.0,1024.0,Dell,gris,15.6,2,5,141.0
250.0,Occasion,12.0,237.0,Lenovo,noir,15.6,0,5,0.0
150.0,Occasion,8.0,,ASUS,autre,14.0,10,5,0.0
159.0,Occasion,256.0,20.0,Acer,noir,15.0,0,5,85.0
135.0,Occasion,4.0,256.0,Lenovo,autre,15.6,10,5,0.0
170.0,Occasion,4.0,300.0,Unowhy,noir,13.3,0,5,170.0
125.0,Occasion,4.0,64.0,ASUS,noir,14.0,0,5,112.0
29.99,Occasion,8.0,700.0,HP,autre,14.0,10,5,0.0
325.0,Occasion,8.0,256.0,Apple,gris,13.3,2,5,0.0
135.0,Occasion,4.0,256.0,ASUS,autre,15.6,10,5,0.0
220.0,État correct - Reconditionné,16.0,512.0,DELL,noir,12.0,0,4,0.0
75.0,Occasion,4.0,64.0,HP,blanc,14.1,1,5,111.0
240.0,Occasion,8.0,256.0,Apple,autre,13.0,10,5,232.0
950.0,Occasion,8.0,256.0,Apple,autre,15.0,10,5,0.0
99.9,Occasion,8.0,256.0,Lenovo,autre,17.3,10,5,0.0
80.0,Occasion,8.0,256.0,Lenovo,autre,15.6,10,5,141.0
495.0,Occasion,8.0,1024.0,ASUS,autre,17.3,10,5,0.0
275.0,Occasion,8.0,500.0,ASUS,autre,15.6,10,5,0.0
90.0,Occasion,8.0,256.0,HP,gris,12.5,2,5,0.0
250.0,Occasion,8.0,128.0,Lenovo,noir,14.0,0,5,157.0
125.0,Occasion,4.0,128.0,Lenovo,autre,15.6,10,5,0.0
200.0,État correct - Reconditionné,8.0,512.0,DELL,noir,12.0,0,4,0.0
1850.0,Occasion,32.0,1024.0,Apple,autre,16.0,10,5,0.0
550.0,Occasion,16.0,512.0,Microsoft,noir,15.0,0,5,0.0
99.0,Neuf,4.0,240.0,Lenovo,noir,12.1,0,0,130.0
39.7,Occasion,4.0,500.0,Lenovo,autre,14.1,10,5,0.0
105.0,Occasion,6.0,1024.0,ASUS,gris,15.6,2,5,100.0
89.0,Occasion,4.0,32.0,Acer,autre,14.0,10,5,0.0
169.0,Occasion,8.0,0.0,Lenovo,noir,12.1,0,5,0.0
120.0,Occasion,6.0,500.0,MSI,noir,17.3,0,5,127.0
85.0,Occasion,8.0,128.0,Dell,noir,14.1,0,5,111.0
165.0,Occasion,16.0,16.0,Dell,marron,14.0,8,5,157.0
145.0,Occasion,8.0,256.0,HP,autre,14.0,10,5,0.0
340.0,Ouvert (jamais utilisé),16.0,512.0,HP,gris,17.3,2,1,127.0
149.99,Occasion,16.0,16.0,HP,autre,14.0,10,5,157.0
900.0,Occasion,16.0,512.0,Samsung,gris,13.3,2,5,166.0
135.0,Occasion,8.0,256.0,Lenovo,autre,14.0,10,5,0.0
199.0,Occasion,8.0,256.0,Dell,autre,14.0,10,5,0.0
380.0,Très bon état - Reconditionné,16.0,512.0,Lenovo,gris,13.0,2,3,0.0
205.0,Occasion,8.0,256.0,Intel,gris,14.0,2,5,157.0
318.34,Occasion,16.0,512.0,MSI,noir,15.6,0,5,141.0
125.0,Occasion,8.0,256.0,Lenovo,autre,15.6,10,5,0.0
250.0,Occasion,8.0,128.0,Apple,gris,13.3,2,5,227.0
119.0,Occasion,4.0,240.0,ASUS,blanc,17.3,1,5,0.0
289.0,Occasion,16.0,16.0,ASUS,autre,14.0,10,5,157.0
250.0,Neuf,8.0,0.0,ASUS,noir,12.1,0,0,130.0
210.0,Occasion,12.0,256.0,Lenovo,noir,14.0,0,5,0.0
59.99,Occasion,4.0,1024.0,Dell,autre,15.6,10,5,0.0
700.0,Neuf,16.0,512.0,ASUS,bleu,14.0,3,0,0.0
155.0,Occasion,4.0,256.0,ASUS,autre,15.6,10,5,0.0
125.0,Occasion,4.0,256.0,Toshiba,autre,15.6,10,5,0.0
125.0,Occasion,4.0,256.0,Acer,autre,15.6,10,5,0.0
135.0,Occasion,4.0,256.0,Toshiba,autre,15.6,10,5,0.0
72.0,Occasion,8.0,1.0,Lenovo,autre,15.6,10,5,0.0
100.0,Occasion,512.0,75.0,HP,autre,15.0,10,5,0.0
125.0,Occasion,4.0,256.0,HP,autre,15.6,10,5,0.0
70.58,Neuf,2.0,16.0,KLIPAD,gris,10.1,2,0,149.0
125.0,Occasion,4.0,128.0,HP,autre,12.0,10,5,0.0
400.0,Occasion,512.0,512.0,ASUS,noir,14.0,0,5,157.0
125.0,Occasion,4.0,256.0,Packard Bell,autre,14.0,10,5,0.0
395.0,Occasion,8.0,256.0,Apple,autre,14.0,10,5,0.0
595.0,Occasion,16.0,512.0,HP,autre,14.0,10,5,0.0
199.0,Occasion,8.0,128.0,Apple,gris,13.0,2,5,232.0
199.99,Occasion,16.0,256.0,Dell,noir,14.0,0,5,112.0
133.0,Occasion,4.0,500.0,HP,noir,13.3,0,5,0.0
175.0,Occasion,4.0,256.0,HP,autre,17.3,10,5,0.0
739.4,Occasion,16.0,1.0,MSI,noir,15.0,0,5,147.0
189.99,Occasion,16.0,256.0,Lenovo,autre,14.0,10,5,0.0
145.0,Occasion,4.0,256.0,Samsung,autre,17.3,10,5,0.0
89.0,Occasion,4.0,128.0,Samsung,noir,17.3,0,5,0.0
